# n E0_Lanczos abs_error_to_full abs_error_to_exact
2 -0.383387 0.115369 0.116613
4 -0.405191 0.0935655 0.0948093
6 -0.427946 0.0708107 0.0720545
8 -0.447747 0.0510091 0.0522529
10 -0.463035 0.035721 0.0369648
12 -0.474061 0.0246951 0.0259389
14 -0.481754 0.0170018 0.0182456
16 -0.48705 0.0117057 0.0129495
18 -0.490683 0.00807367 0.00931746
20 -0.493175 0.00558131 0.0068251
22 -0.494889 0.003867 0.00511079
24 -0.496072 0.00268451 0.0039283
26 -0.49689 0.00186665 0.00311043
28 -0.497457 0.00129961 0.0025434
30 -0.497851 0.000905705 0.00214949
32 -0.498125 0.000631632 0.00187542
34 -0.498316 0.000440703 0.00168449
36 -0.498449 0.000307576 0.00155136
38 -0.498542 0.000214692 0.00145848
40 -0.498606 0.000149859 0.00139365
42 -0.498652 0.000104594 0.00134838
44 -0.498683 7.29885e-05 0.00131678
46 -0.498705 5.09211e-05 0.00129471
48 -0.498721 3.55151e-05 0.0012793
50 -0.498731 2.47619e-05 0.00126855
52 -0.498739 1.72582e-05 0.00126105
54 -0.498744 1.20236e-05 0.00125581
56 -0.498748 8.37325e-06 0.00125216
58 -0.49875 5.82864e-06 0.00124962
60 -0.498752 4.05554e-06 0.00124784
62 -0.498753 2.82055e-06 0.00124661
64 -0.498754 1.96075e-06 0.00124575
66 -0.498755 1.36241e-06 0.00124515
68 -0.498755 9.46216e-07 0.00124474
70 -0.498756 6.56854e-07 0.00124445
72 -0.498756 4.55766e-07 0.00124424
74 -0.498756 3.16088e-07 0.0012441
76 -0.498756 2.19112e-07 0.00124401
78 -0.498756 1.51815e-07 0.00124394
80 -0.498756 1.05135e-07 0.00124389
82 -0.498756 7.27727e-08 0.00124386
84 -0.498756 5.03467e-08 0.00124384
86 -0.498756 3.48141e-08 0.00124382
88 -0.498756 2.40615e-08 0.00124381
90 -0.498756 1.66222e-08 0.00124381
92 -0.498756 1.14785e-08 0.0012438
94 -0.498756 7.92515e-09 0.0012438
96 -0.498756 5.47379e-09 0.00124379
98 -0.498756 3.78759e-09 0.00124379
100 -0.498756 2.63844e-09 0.00124379
