# x exact network
-1 0.353227 0.352931
-0.99 0.354636 0.355042
-0.98 0.354983 0.355881
-0.97 0.354228 0.355436
-0.96 0.352332 0.353696
-0.95 0.34926 0.350652
-0.94 0.34498 0.346297
-0.93 0.339463 0.340628
-0.92 0.332684 0.333641
-0.91 0.324621 0.325335
-0.9 0.315257 0.315711
-0.89 0.30458 0.304773
-0.88 0.292581 0.292526
-0.87 0.279256 0.278975
-0.86 0.264606 0.264131
-0.85 0.248636 0.248005
-0.84 0.231359 0.230612
-0.83 0.21279 0.211969
-0.82 0.192951 0.192099
-0.81 0.171868 0.171025
-0.8 0.149573 0.148776
-0.79 0.126104 0.125386
-0.78 0.101504 0.100891
-0.77 0.0758208 0.0753343
-0.76 0.0491083 0.0487629
-0.75 0.0214251 0.0212291
-0.74 -0.00716481 -0.00720943
-0.73 -0.0365924 -0.0364896
-0.72 -0.0667838 -0.0665431
-0.71 -0.0976604 -0.0972959
-0.7 -0.129139 -0.128669
-0.69 -0.161132 -0.160578
-0.68 -0.193549 -0.192934
-0.67 -0.226294 -0.225642
-0.66 -0.259268 -0.258605
-0.65 -0.292369 -0.291719
-0.64 -0.325492 -0.324878
-0.63 -0.35853 -0.357974
-0.62 -0.391374 -0.390893
-0.61 -0.423912 -0.423522
-0.6 -0.456032 -0.455744
-0.59 -0.487619 -0.487441
-0.58 -0.518561 -0.518495
-0.57 -0.548741 -0.548789
-0.56 -0.578048 -0.578204
-0.55 -0.606368 -0.606625
-0.54 -0.633588 -0.633936
-0.53 -0.659599 -0.660024
-0.52 -0.684293 -0.684779
-0.51 -0.707565 -0.708096
-0.5 -0.729313 -0.72987
-0.49 -0.749438 -0.750002
-0.48 -0.767846 -0.768399
-0.47 -0.784447 -0.784972
-0.46 -0.799156 -0.799635
-0.45 -0.811892 -0.812312
-0.44 -0.822582 -0.822931
-0.43 -0.831158 -0.831425
-0.42 -0.837558 -0.837736
-0.41 -0.841726 -0.841812
-0.4 -0.843616 -0.843607
-0.39 -0.843186 -0.843085
-0.38 -0.840405 -0.840216
-0.37 -0.835245 -0.834976
-0.36 -0.827692 -0.827352
-0.35 -0.817736 -0.817336
-0.34 -0.805376 -0.804929
-0.33 -0.790621 -0.790141
-0.32 -0.773486 -0.77299
-0.31 -0.753998 -0.753499
-0.3 -0.73219 -0.731704
-0.29 -0.708104 -0.707644
-0.28 -0.68179 -0.681371
-0.27 -0.653308 -0.652941
-0.26 -0.622724 -0.62242
-0.25 -0.590115 -0.589881
-0.24 -0.555561 -0.555404
-0.23 -0.519155 -0.519078
-0.22 -0.480993 -0.480999
-0.21 -0.441181 -0.441267
-0.2 -0.399829 -0.399993
-0.19 -0.357056 -0.357291
-0.18 -0.312983 -0.313282
-0.17 -0.26774 -0.268094
-0.16 -0.22146 -0.221859
-0.15 -0.17428 -0.174712
-0.14 -0.126344 -0.126795
-0.13 -0.077795 -0.0782538
-0.12 -0.0287821 -0.029235
-0.11 0.0205447 0.0201103
-0.1 0.0700334 0.0696295
-0.09 0.119531 0.119168
-0.08 0.168883 0.168572
-0.07 0.217936 0.217684
-0.06 0.266538 0.266352
-0.05 0.314535 0.31442
-0.04 0.361778 0.361736
-0.03 0.40812 0.408151
-0.02 0.453415 0.453518
-0.01 0.497521 0.497693
0 0.540302 0.540538
0.01 0.581625 0.581917
0.02 0.621361 0.621702
0.03 0.659389 0.659768
0.04 0.695593 0.696
0.05 0.729862 0.730286
0.06 0.762094 0.762523
0.07 0.792193 0.792615
0.08 0.82007 0.820476
0.09 0.845647 0.846024
0.1 0.86885 0.869189
0.11 0.889617 0.889908
0.12 0.907893 0.908129
0.13 0.923631 0.923805
0.14 0.936794 0.936903
0.15 0.947355 0.947396
0.16 0.955295 0.955267
0.17 0.960605 0.960508
0.18 0.963283 0.96312
0.19 0.963338 0.963115
0.2 0.960789 0.96051
0.21 0.955662 0.955336
0.22 0.947993 0.947627
0.23 0.937825 0.937429
0.24 0.92521 0.924795
0.25 0.910209 0.909786
0.26 0.89289 0.892471
0.27 0.873329 0.872924
0.28 0.851608 0.851227
0.29 0.827816 0.827471
0.3 0.80205 0.801749
0.31 0.77441 0.774162
0.32 0.745004 0.744816
0.33 0.713944 0.71382
0.34 0.681346 0.68129
0.35 0.647329 0.647345
0.36 0.61202 0.612105
0.37 0.575543 0.575698
0.38 0.538029 0.538249
0.39 0.499609 0.499888
0.4 0.460415 0.460747
0.41 0.420582 0.420957
0.42 0.380242 0.380651
0.43 0.33953 0.339962
0.44 0.298578 0.299022
0.45 0.25752 0.257962
0.46 0.216484 0.216913
0.47 0.175599 0.176003
0.48 0.134991 0.135357
0.49 0.0947814 0.0950997
0.5 0.0550902 0.0553504
0.51 0.0160323 0.016226
0.52 -0.0222814 -0.0221609
0.53 -0.0597445 -0.059702
0.54 -0.0962555 -0.0962936
0.55 -0.131718 -0.131837
0.56 -0.166042 -0.16624
0.57 -0.199141 -0.199414
0.58 -0.230938 -0.231278
0.59 -0.261358 -0.261758
0.6 -0.290336 -0.290783
0.61 -0.317811 -0.318294
0.62 -0.343729 -0.344233
0.63 -0.368044 -0.368554
0.64 -0.390715 -0.391215
0.65 -0.411709 -0.412182
0.66 -0.430998 -0.431429
0.67 -0.448563 -0.448936
0.68 -0.464389 -0.46469
0.69 -0.478469 -0.478686
0.7 -0.490802 -0.490925
0.71 -0.501393 -0.501416
0.72 -0.510254 -0.510171
0.73 -0.517401 -0.517213
0.74 -0.522858 -0.522566
0.75 -0.526652 -0.526264
0.76 -0.528816 -0.528343
0.77 -0.52939 -0.528846
0.78 -0.528416 -0.527817
0.79 -0.52594 -0.525309
0.8 -0.522016 -0.521374
0.81 -0.516696 -0.51607
0.82 -0.51004 -0.509456
0.83 -0.50211 -0.501595
0.84 -0.49297 -0.492549
0.85 -0.482687 -0.482385
0.86 -0.471329 -0.471168
0.87 -0.458968 -0.458964
0.88 -0.445675 -0.445841
0.89 -0.431524 -0.431866
0.9 -0.41659 -0.417104
0.91 -0.400947 -0.401622
0.92 -0.38467 -0.385485
0.93 -0.367834 -0.368756
0.94 -0.350513 -0.351498
0.95 -0.332782 -0.333771
0.96 -0.314712 -0.315637
0.97 -0.296376 -0.297152
0.98 -0.277843 -0.278373
0.99 -0.259183 -0.259355
1 -0.240462 -0.240152
