# x exact network
0 0 2.4651e-05
0.015708 0.0157073 0.0157357
0.0314159 0.0314108 0.0314501
0.0471239 0.0471065 0.0471623
0.0628319 0.0627905 0.0628671
0.0785398 0.0784591 0.0785592
0.0942478 0.0941083 0.0942335
0.109956 0.109734 0.109885
0.125664 0.125333 0.125509
0.141372 0.140901 0.1411
0.15708 0.156434 0.156654
0.172788 0.171929 0.172166
0.188496 0.187381 0.187631
0.204204 0.202787 0.203047
0.219911 0.218143 0.218407
0.235619 0.233445 0.233709
0.251327 0.24869 0.248949
0.267035 0.263873 0.264122
0.282743 0.278991 0.279224
0.298451 0.29404 0.294254
0.314159 0.309017 0.309206
0.329867 0.323917 0.324077
0.345575 0.338738 0.338865
0.361283 0.353475 0.353566
0.376991 0.368125 0.368178
0.392699 0.382683 0.382695
0.408407 0.397148 0.397117
0.424115 0.411514 0.41144
0.439823 0.425779 0.42566
0.455531 0.439939 0.439775
0.471239 0.45399 0.453782
0.486947 0.46793 0.467677
0.502655 0.481754 0.481458
0.518363 0.495459 0.495121
0.534071 0.509041 0.508663
0.549779 0.522499 0.522081
0.565487 0.535827 0.535372
0.581195 0.549023 0.548532
0.596903 0.562083 0.561558
0.612611 0.575005 0.574446
0.628319 0.587785 0.587193
0.644026 0.60042 0.599795
0.659734 0.612907 0.612249
0.675442 0.625243 0.624552
0.69115 0.637424 0.6367
0.706858 0.649448 0.648689
0.722566 0.661312 0.660516
0.738274 0.673013 0.672177
0.753982 0.684547 0.683671
0.76969 0.695913 0.694992
0.785398 0.707107 0.706139
0.801106 0.718126 0.717108
0.816814 0.728969 0.727897
0.832522 0.739631 0.738502
0.84823 0.750111 0.748922
0.863938 0.760406 0.759154
0.879646 0.770513 0.769195
0.895354 0.78043 0.779044
0.911062 0.790155 0.788698
0.92677 0.799685 0.798155
0.942478 0.809017 0.807413
0.958186 0.81815 0.816471
0.973894 0.827081 0.825327
0.989602 0.835807 0.833979
1.00531 0.844328 0.842425
1.02102 0.85264 0.850663
1.03673 0.860742 0.858693
1.05243 0.868632 0.866511
1.06814 0.876307 0.874116
1.08385 0.883766 0.881507
1.09956 0.891007 0.888681
1.11527 0.898028 0.895637
1.13097 0.904827 0.902372
1.14668 0.911403 0.908885
1.16239 0.917755 0.915174
1.1781 0.92388 0.921237
1.19381 0.929776 0.927072
1.20951 0.935444 0.932677
1.22522 0.940881 0.93805
1.24093 0.946085 0.943189
1.25664 0.951057 0.948094
1.27235 0.955793 0.952761
1.28805 0.960294 0.95719
1.30376 0.964557 0.96138
1.31947 0.968583 0.965329
1.33518 0.97237 0.969035
1.35088 0.975917 0.972499
1.36659 0.979223 0.97572
1.3823 0.982287 0.978696
1.39801 0.985109 0.981427
1.41372 0.987688 0.983914
1.42942 0.990024 0.986155
1.44513 0.992115 0.98815
1.46084 0.993961 0.989901
1.47655 0.995562 0.991406
1.49226 0.996917 0.992665
1.50796 0.998027 0.99368
1.52367 0.99889 0.99445
1.53938 0.999507 0.994975
1.55509 0.999877 0.995255
1.5708 1 0.995291
1.5865 0.999877 0.995083
1.60221 0.999507 0.994632
1.61792 0.99889 0.993936
1.63363 0.998027 0.992997
1.64934 0.996917 0.991813
1.66504 0.995562 0.990387
