# r f1_num f1_exact f2_num f2_exact f3_num f3_exact
0.05 0.09506629485 0.09512294245 0.03972235979 0.03362035231 0.04825989146 0.01829952471
0.1 0.1808634772 0.1809674836 0.07549488311 0.06389897377 0.09167173531 0.03477386381
0.15 0.2580693616 0.2582123929 0.107535234 0.09102190232 0.1304580914 0.04951886288
0.2 0.3273177035 0.3274923012 0.1360517164 0.1151670013 0.1648362151 0.06262669196
0.25 0.3892008852 0.3894003915 0.1612436257 0.1365042753 0.1950180907 0.0741859631
0.3 0.4442724425 0.4444909324 0.1833015881 0.1551961739 0.2212104662 0.08428184447
0.35 0.4930494453 0.4932816628 0.2024078881 0.1713978859 0.2436148905 0.09299617133
0.4 0.5360147369 0.5362560368 0.218736785 0.1852576216 0.2624277515 0.1004075537
0.45 0.5736190427 0.5738653365 0.2324548182 0.1969168863 0.277840316 0.1065914811
0.5 0.6062829539 0.6065306597 0.2437211018 0.2065107431 0.2900387716 0.1116204242
0.55 0.6343987945 0.6346447914 0.2526876092 0.2141680664 0.2992042695 0.1155639333
0.6 0.658332378 0.6585739633 0.2594994475 0.2200117867 0.3055129694 0.1184887348
0.65 0.6784246595 0.6786595098 0.2642951227 0.2241591262 0.3091360851 0.1204588236
0.7 0.6949932902 0.6952194253 0.2672067949 0.2267218257 0.310239932 0.1215355542
0.75 0.7083340792 0.7085498291 0.2683605256 0.2278063639 0.308985976 0.121777728
0.8 0.7187223682 0.7189263426 0.2678765152 0.2275141681 0.3055308833 0.1212416786
0.85 0.726414324 0.7266053843 0.2658693326 0.2259418174 0.3000265716 0.119981355
0.9 0.7316481539 0.7318253875 0.2624481369 0.223181239 0.2926202625 0.1180484014
0.95 0.7346452477 0.7348079446 0.257716891 0.2193198963 0.2834545355 0.1154922352
1 0.7356112515 0.7357588823 0.2517745675 0.2144409712 0.2726673821 0.1123601233
1.05 0.7347370765 0.7348692731 0.2447153473 0.2086235388 0.2603922619 0.1086972548
1.1 0.7321998469 0.7323163841 0.2366288114 0.201942736 0.2467581593 0.1045468126
1.15 0.7281637905 0.7282645696 0.2276001254 0.1944699244 0.2318896414 0.09995004254
1.2 0.7227810749 0.7228661086 0.2177102178 0.1862728461 0.2159069164 0.09494632061
1.25 0.7161925937 0.7162619922 0.2070359514 0.1774157746 0.1989258932 0.08957321788
1.3 0.7085287032 0.7085826619 0.1956502893 0.1679596595 0.1810582421 0.0838665637
1.35 0.6999099157 0.6999487037 0.1836224535 0.1579622664 0.1624114556 0.07786050702
1.4 0.6904475493 0.690471499 0.1710180797 0.147478311 0.1430889108 0.07158757575
1.45 0.6802443376 0.6802538355 0.1578993644 0.1365595883 0.1231899316 0.0650787344
1.5 0.6693950025 0.6693904804 0.1443252083 0.1252550972 0.1028098523 0.05836343994
1.55 0.6579867911 0.6579687189 0.1303513534 0.1136111602 0.08204008145 0.05146969604
1.6 0.6460999795 0.6460688576 0.1160305157 0.1016715384 0.06096816662 0.04442410553
1.65 0.6338083446 0.6337646984 0.1014125124 0.08947754246 0.03967785916 0.03725192135
1.7 0.6211796079 0.6211239818 0.08654438523 0.07706813917 0.01824917994 0.02997709595
1.75 0.6082758496 0.6082088021 0.07147051825 0.06448005395 -0.003241514614 0.02262232908
1.8 0.5951538985 0.5950759976 0.05623275215 0.05174786942 -0.02472146608 0.0152091142
1.85 0.5818656958 0.5817775154 0.04087049371 0.03890412018 -0.0461214472 0.007757783397
1.9 0.5684586373 0.568360753 0.02542082143 0.02597938402 -0.06737569472 0.0002875509284
1.95 0.5549758923 0.5548688792 0.009918587105 0.01300236946 -0.08842184194 -0.007183444596
2 0.5414567038 0.5413411329 -0.00560348639 0 -0.1092008509 -0.01463809935
2.05 0.5279366683 0.5278131047 -0.02111471098 -0.01300250495 -0.1296569447 -0.02206030473
2.1 0.5144479983 0.5143169987 -0.03658634291 -0.02598155232 -0.1497375388 -0.02943490897
2.15 0.5010197673 0.5008818784 -0.0519914956 -0.03891510059 -0.1693931735 -0.0367476801
2.2 0.4876781398 0.4875338968 -0.06730505594 -0.05178258812 -0.1885774449 -0.04398526994
2.25 0.4744465854 0.4742965105 -0.08250360369 -0.06456486409 -0.2072469368 -0.05113517932
2.3 0.4613460795 0.4611906811 -0.09756533404 -0.07724412235 -0.2253611523 -0.0581857244
2.35 0.4483952909 0.4482350624 -0.1124699831 -0.08980383782 -0.242882445 -0.06512600406
2.4 0.4356107566 0.4354461758 -0.1271987564 -0.1022287055 -0.2597759506 -0.07194586835
2.45 0.4230070454 0.4228385738 -0.1417342598 -0.1145045816 -0.2760095189 -0.07863588796
2.5 0.4105969104 0.4104249931 -0.1560604339 -0.1266184279 -0.2915536449 -0.08518732467
2.55 0.3983914315 0.3982164966 -0.1701624899 -0.1385582572 -0.3063814014 -0.09159210277
2.6 0.3864001484 0.3862226067 -0.184026849 -0.1503130816 -0.3204683702 -0.09784278143
2.65 0.3746311841 0.3744514292 -0.1976410833 -0.1618728632 -0.3337925751 -0.103932528
2.7 0.3630913603 0.3629097688 -0.21099386 -0.1732284662 -0.346334414 -0.109855092
2.75 0.3517863056 0.3516032366 -0.2240748873 -0.1843716113 -0.3580765915 -0.1156047803
2.8 0.340720555 0.3405363507 -0.2368748619 -0.1952948317 -0.3690040522 -0.1211764331
2.85 0.3298976431 0.329712629 -0.2493854199 -0.2059914314 -0.379103914 -0.1265654001
2.9 0.3193201916 0.3191346763 -0.2615990885 -0.216455445 -0.3883654018 -0.1317675184
2.95 0.3089899889 0.3088042651 -0.2735092403 -0.2266815987 -0.3967797813 -0.1367790904
3 0.2989080661 0.2987224102 -0.2851100496 -0.236665274 -0.404340294 -0.1415968629
3.05 0.2890747657 0.2888894388 -0.2963964496 -0.2464024717 -0.4110420917 -0.1462180069
3.1 0.279489807 0.2793050548 -0.3073640923 -0.2558897786 -0.4168821722 -0.1506400974
3.15 0.2701523456 0.2699683993 -0.3180093096 -0.2651243347 -0.4218593151 -0.154861095
3.2 0.2610610293 0.2608781055 -0.3283290762 -0.2741038022 -0.425974018 -0.1588793275
3.25 0.2522140493 0.2520323509 -0.3383209741 -0.2828263361 -0.4292284338 -0.1626934719
3.3 0.2436091882 0.2434289048 -0.347983158 -0.2912905554 -0.4316263079 -0.1663025375
3.35 0.2352438643 0.2350651725 -0.3573143231 -0.2994955162 -0.4331729165 -0.1697058498
3.4 0.2271151717 0.2269382357 -0.3663136734 -0.3074406856 -0.4338750052 -0.172903034
3.45 0.219219919 0.219044891 -0.3749808921 -0.315125917 -0.4337407283 -0.1758940001
3.5 0.2115546631 0.211381684 -0.3833161126 -0.3225514262 -0.4327795889 -0.1786789281
3.55 0.2041157419 0.2039449415 -0.3913198914 -0.3297177688 -0.4310023796 -0.1812582538
3.6 0.1968993039 0.1967308016 -0.3989931814 -0.3366258186 -0.4284211236 -0.1836326546
3.65 0.1899013349 0.1897352401 -0.4063373073 -0.3432767467 -0.425049017 -0.1858030372
3.7 0.1831176833 0.1829540959 -0.413353941 -0.3496720023 -0.4209003716 -0.1877705241
3.75 0.1765440832 0.1763830939 -0.4200450795 -0.3558132932 -0.4159905582 -0.1895364414
3.8 0.1701761751 0.1700178661 -0.426413022 -0.3617025684 -0.4103359512 -0.1911023076
3.85 0.1640095251 0.1638539706 -0.4324603498 -0.3673420005 -0.4039538735 -0.1924698214
3.9 0.158039643 0.1578869093 -0.4381899061 -0.3727339698 -0.3968625425 -0.1936408515
