# r numerical exact
0.001 0.000999 0.000999
0.0015072 0.00150493 0.00150493
0.00201127 0.00200722 0.00200722
0.00251531 0.00250899 0.002509
0.00301937 0.00301027 0.00301027
0.00352346 0.00351106 0.00351107
0.00402758 0.00401139 0.00401139
0.00453175 0.00451125 0.00451126
0.00503597 0.00501066 0.00501067
0.00554023 0.00550962 0.00550962
0.00604455 0.00600812 0.00600813
0.00654893 0.00650618 0.00650618
0.00705337 0.00700378 0.00700379
0.00755786 0.00750095 0.00750096
0.00806242 0.00799766 0.00799768
0.00856703 0.00849394 0.00849395
0.00907171 0.00898977 0.00898979
0.00957645 0.00948517 0.00948518
0.0100813 0.00998012 0.00998013
0.0105861 0.0104746 0.0104746
0.011091 0.0109687 0.0109687
0.011596 0.0114623 0.0114624
0.0121011 0.0119555 0.0119555
0.0126062 0.0124483 0.0124483
0.0131114 0.0129406 0.0129406
0.0136167 0.0134325 0.0134325
0.014122 0.0139239 0.013924
0.0146274 0.014415 0.014415
0.0151328 0.0149055 0.0149056
0.0156384 0.0153957 0.0153957
0.016144 0.0158854 0.0158854
0.0166496 0.0163747 0.0163747
0.0171553 0.0168635 0.0168635
0.0176611 0.0173519 0.0173519
0.018167 0.0178399 0.0178399
0.0186729 0.0183274 0.0183275
0.0191789 0.0188146 0.0188146
0.019685 0.0193012 0.0193013
0.0201911 0.0197875 0.0197875
0.0206973 0.0202733 0.0202733
0.0212036 0.0207587 0.0207587
0.0217099 0.0212436 0.0212437
0.0222163 0.0217282 0.0217282
0.0227228 0.0222123 0.0222123
0.0232293 0.0226959 0.022696
0.023736 0.0231792 0.0231792
0.0242426 0.023662 0.023662
0.0247494 0.0241444 0.0241444
0.0252562 0.0246263 0.0246263
0.0257631 0.0251078 0.0251079
0.0262701 0.0255889 0.025589
0.0267771 0.0260696 0.0260696
0.0272842 0.0265498 0.0265499
0.0277914 0.0270297 0.0270297
0.0282987 0.027509 0.0275091
0.028806 0.027988 0.027988
0.0293134 0.0284665 0.0284666
0.0298209 0.0289447 0.0289447
0.0303284 0.0294223 0.0294224
0.030836 0.0298996 0.0298996
0.0313437 0.0303764 0.0303765
0.0318514 0.0308529 0.0308529
0.0323593 0.0313288 0.0313289
0.0328672 0.0318044 0.0318045
0.0333751 0.0322796 0.0322796
0.0338832 0.0327543 0.0327543
0.0343913 0.0332286 0.0332286
0.0348995 0.0337024 0.0337025
0.0354077 0.0341759 0.034176
0.0359161 0.0346489 0.034649
0.0364245 0.0351215 0.0351216
0.0369329 0.0355937 0.0355938
0.0374415 0.0360655 0.0360655
0.0379501 0.0365368 0.0365369
0.0384588 0.0370078 0.0370078
0.0389676 0.0374783 0.0374783
0.0394764 0.0379484 0.0379484
0.0399854 0.038418 0.0384181
