# E fit
100 0.0146175
100.1 0.0147305
100.2 0.0148449
100.3 0.0149606
100.4 0.0150776
100.5 0.015196
100.6 0.0153159
100.7 0.0154371
100.8 0.0155598
100.9 0.0156839
101 0.0158096
101.1 0.0159367
101.2 0.0160654
101.3 0.0161957
101.4 0.0163275
101.5 0.016461
101.6 0.0165961
101.7 0.0167329
101.8 0.0168714
101.9 0.0170116
102 0.0171535
102.1 0.0172973
102.2 0.0174428
102.3 0.0175902
102.4 0.0177395
102.5 0.0178907
102.6 0.0180438
102.7 0.0181989
102.8 0.018356
102.9 0.0185151
103 0.0186763
103.1 0.0188396
103.2 0.0190051
103.3 0.0191728
103.4 0.0193427
103.5 0.0195148
103.6 0.0196893
103.7 0.0198661
103.8 0.0200453
103.9 0.020227
104 0.0204111
104.1 0.0205977
104.2 0.0207869
104.3 0.0209788
104.4 0.0211733
104.5 0.0213705
104.6 0.0215704
104.7 0.0217732
104.8 0.0219789
104.9 0.0221875
105 0.0223991
105.1 0.0226137
105.2 0.0228314
105.3 0.0230522
105.4 0.0232763
105.5 0.0235037
105.6 0.0237344
105.7 0.0239685
105.8 0.0242061
105.9 0.0244472
106 0.024692
106.1 0.0249404
106.2 0.0251927
106.3 0.0254487
106.4 0.0257087
106.5 0.0259727
106.6 0.0262407
106.7 0.0265129
106.8 0.0267894
106.9 0.0270702
107 0.0273555
107.1 0.0276453
107.2 0.0279397
107.3 0.0282388
107.4 0.0285428
107.5 0.0288517
107.6 0.0291656
107.7 0.0294847
107.8 0.029809
107.9 0.0301387
108 0.0304739
108.1 0.0308147
108.2 0.0311613
108.3 0.0315137
108.4 0.0318721
108.5 0.0322367
108.6 0.0326076
108.7 0.0329849
108.8 0.0333687
108.9 0.0337593
109 0.0341568
109.1 0.0345614
109.2 0.0349731
109.3 0.0353923
109.4 0.035819
109.5 0.0362535
109.6 0.0366959
109.7 0.0371465
109.8 0.0376054
109.9 0.0380728
110 0.038549
110.1 0.0390342
110.2 0.0395286
110.3 0.0400324
110.4 0.0405459
110.5 0.0410693
110.6 0.0416029
110.7 0.042147
110.8 0.0427018
110.9 0.0432676
111 0.0438447
111.1 0.0444334
111.2 0.045034
111.3 0.0456469
111.4 0.0462723
111.5 0.0469107
111.6 0.0475623
111.7 0.0482276
111.8 0.0489069
111.9 0.0496006
112 0.0503092
112.1 0.0510331
112.2 0.0517726
112.3 0.0525283
112.4 0.0533007
112.5 0.0540902
112.6 0.0548973
112.7 0.0557225
112.8 0.0565665
112.9 0.0574298
113 0.0583129
113.1 0.0592165
113.2 0.0601413
113.3 0.0610878
113.4 0.0620568
113.5 0.0630489
113.6 0.064065
113.7 0.0651058
113.8 0.0661721
113.9 0.0672648
114 0.0683847
114.1 0.0695327
114.2 0.0707098
114.3 0.0719169
114.4 0.0731551
114.5 0.0744255
114.6 0.0757292
114.7 0.0770674
114.8 0.0784412
114.9 0.079852
115 0.081301
115.1 0.0827898
115.2 0.0843197
115.3 0.0858922
115.4 0.0875091
115.5 0.0891718
115.6 0.0908822
115.7 0.0926422
115.8 0.0944536
115.9 0.0963184
116 0.0982388
116.1 0.100217
116.2 0.102255
116.3 0.104356
116.4 0.106522
116.5 0.108756
116.6 0.111061
116.7 0.113439
116.8 0.115895
116.9 0.11843
117 0.121049
117.1 0.123756
117.2 0.126554
117.3 0.129448
117.4 0.132441
117.5 0.135539
117.6 0.138747
117.7 0.142068
117.8 0.145511
117.9 0.149079
118 0.152779
118.1 0.156617
118.2 0.160602
118.3 0.164739
118.4 0.169037
118.5 0.173505
118.6 0.178151
118.7 0.182985
118.8 0.188016
118.9 0.193257
119 0.198718
119.1 0.204412
119.2 0.210353
119.3 0.216554
119.4 0.223031
119.5 0.2298
119.6 0.23688
119.7 0.244288
119.8 0.252047
119.9 0.260177
120 0.268702
120.1 0.27765
120.2 0.287046
120.3 0.296923
120.4 0.307312
120.5 0.318249
120.6 0.329772
120.7 0.341925
120.8 0.354753
120.9 0.368306
121 0.382638
121.1 0.397811
121.2 0.413889
121.3 0.430946
121.4 0.44906
121.5 0.468319
121.6 0.48882
121.7 0.510669
121.8 0.533984
121.9 0.558897
122 0.585553
122.1 0.614115
122.2 0.644763
122.3 0.677699
122.4 0.71315
122.5 0.75137
122.6 0.792644
122.7 0.837294
122.8 0.885683
122.9 0.938222
123 0.995377
123.1 1.05768
123.2 1.12572
123.3 1.2002
123.4 1.2819
123.5 1.37172
123.6 1.47067
123.7 1.57993
123.8 1.70086
123.9 1.83499
124 1.98409
124.1 2.15015
124.2 2.33544
124.3 2.54253
124.4 2.77424
124.5 3.03368
124.6 3.3241
124.7 3.64887
124.8 4.01111
124.9 4.4134
125 4.85714
125.1 5.34166
125.2 5.86311
