# r f1 f2 f3
0.1 0.180549248 -0.07555473668 -0.09177290971
0.2 0.3267896449 -0.1361688309 -0.1650234871
0.3 0.4436108396 -0.1834729745 -0.2214700716
0.4 0.5352830448 -0.2189591454 -0.2627471627
0.5 0.6055306046 -0.2439909059 -0.2904066238
0.6 0.657597174 -0.259813 -0.3059189898
0.7 0.6943034412 -0.2675602946 -0.3106748711
0.8 0.7180982197 -0.268266106 -0.3059864492
0.9 0.7311036509 -0.2628699524 -0.2930890579
1 0.7351551729 -0.2522247686 -0.273142843
1.1 0.7318368444 -0.237103619 -0.2472344973
1.2 0.7225125439 -0.21820594 -0.2163790624
1.3 0.7083535091 -0.1961633444 -0.1815217936
1.4 0.6903626315 -0.1715450149 -0.1435400807
1.5 0.6693958731 -0.1448627149 -0.1032454203
1.6 0.6461811333 -0.1165754411 -0.06138543345
1.7 0.6213348566 -0.08709374227 -0.01864592312
1.8 0.595376641 -0.05678372558 0.02434703363
1.9 0.5687420764 -0.02597077247 0.06702496418
2 0.5417940173 0.005057017544 0.1088748548
2.1 0.5148324724 0.0360456362 0.1494369861
2.2 0.4881032713 0.06677221206 0.1883027542
2.3 0.461805651 0.09704227632 0.2251124831
2.4 0.4360988911 0.1266872337 0.2595532323
2.5 0.4111081079 0.1555620246 0.2913566041
2.6 0.386929308 0.1835429653 0.3202965565
2.7 0.3636337908 0.2105257537 0.3461872236
2.8 0.3412719768 0.2364236296 0.3688807502
2.9 0.3198767309 0.261165678 0.3882651424
3 0.2994662439 0.2846952666 0.4042621395
3.1 0.2800465238 0.3069686067 0.4168251106
3.2 0.2616135465 0.3279534295 0.4259369787
3.3 0.2441551082 0.3476277697 0.4316081765
3.4 0.2276524158 0.3659788484 0.4338746367
3.5 0.2120814492 0.3830020483 0.4327958198
3.6 0.1974141242 0.3986999742 0.4284527825
3.7 0.1836192815 0.4130815935 0.4209462891
3.8 0.1706635245 0.4261614496 0.4103949686
3.9 0.1585119257 0.4379589437 0.3969335195
4 0.147128619 0.4484976797 0.3807109646
4.1 0.1364772932 0.4578048676 0.3618889587
4.2 0.1265216004 0.4659107801 0.340640149
4.3 0.1172254905 0.4728482603 0.3171465921
4.4 0.1085534829 0.478652274 0.2915982269
4.5 0.1004708832 0.483359506 0.264191407
4.6 0.09294395423 0.4870079944 0.2351274913
4.7 0.0859400472 0.4896368014 0.2046114959
4.8 0.07942769919 0.4912857177 0.1728508068
4.9 0.07337670239 0.4919949972 0.1400539545
5 0.06775814947 0.4918051196 0.1064294507
5.1 0.06254445887 0.4907565792 0.07218468827
5.2 0.05770938369 0.4888896974 0.03752490322
5.3 0.05322800673 0.4862444569 0.002652200376
5.4 0.04907672455 0.4828603552 -0.03223535869
5.5 0.0452332224 0.4787762776 -0.06694460498
5.6 0.04167644213 0.4740303853 -0.1012880492
5.7 0.03838654448 0.4686600197 -0.1350846075
5.8 0.03534486717 0.4627016203 -0.1681602654
5.9 0.03253387991 0.4561906548 -0.2003486825
6 0.02993713732 0.4491615609 -0.231491737
6.1 0.02753923048 0.4416476984 -0.261440012
6.2 0.02532573791 0.4336813107 -0.290053224
6.3 0.0232831764 0.4252934942 -0.3172005962
6.4 0.02139895228 0.4165141762 -0.342761176
6.5 0.01966131331 0.4073720989 -0.3666240987
6.6 0.01805930174 0.3978948097 -0.3886888003
6.7 0.01658270851 0.388108657 -0.4088651782
6.8 0.01522202899 0.3780387908 -0.4270737041
6.9 0.0139684202 0.3677091675 -0.4432454889
7 0.01281365975 0.3571425587 -0.457322302
7.1 0.01175010649 0.3463605629 -0.469256547
7.2 0.01077066294 0.3353836207 -0.479011195
7.3 0.009868739413 0.3242310318 -0.4865596786
7.4 0.009038219998 0.3129209745 -0.4918857464
7.5 0.008273430193 0.3014705272 -0.4949832823
7.6 0.007569106275 0.2898956908 -0.4958560897
7.7 0.006920366318 0.278211413 -0.4945176443
7.8 0.006322682792 0.2664316131 -0.4909908157
7.9 0.005771856709 0.2545692077 -0.4853075611
8 0.005263993231 0.2426361373 -0.4775085929
8.1 0.004795478677 0.2306433927 -0.4676430219
8.2 0.004362958857 0.2186010421 -0.4557679787
8.3 0.003963318665 0.2065182578 -0.4419482145
8.4 0.003593662843 0.1944033435 -0.4262556838
8.5 0.00325129786 0.1822637607 -0.4087691119
8.6 0.002933714816 0.1701061552 -0.3895735471
8.7 0.002638573304 0.1579363833 -0.3687599012
8.8 0.002363686162 0.1457595372 -0.3464244804
8.9 0.002107005034 0.13357997 -0.3226685068
9 0.001866606669 0.1214013202 -0.2975976342
9.1 0.001640679893 0.1092265354 -0.271321459
9.2 0.001427513189 0.09705789538 -0.2439530283
9.3 0.001225482795 0.08489703412 -0.2156083465
9.4 0.001033041278 0.07274496152 -0.1864058835
9.5 0.0008487065011 0.06060208384 -0.1564660835
9.6 0.0006710509134 0.04846822348 -0.125910879
9.7 0.0004986911089 0.0363426379 -0.0948632095
9.8 0.0003302775735 0.02422403748 -0.06344654662
9.9 0.0001644845571 0.01211060267 -0.03178442795
