# x g Fp gprime Fpprime gsecond Fpsecond Fp_antiderivative
-1 0.353227 0.352931 0.192498 0.274106 -10.18 -12.5528 0
-0.99 0.354636 0.355042 0.0885032 0.147752 -10.615 -12.7133 0.00354092
-0.98 0.354983 0.355881 -0.0197209 0.0199311 -11.0255 -12.8466 0.0070966
-0.97 0.354228 0.355436 -0.131918 -0.109097 -11.4092 -12.9551 0.0106543
-0.96 0.352332 0.353696 -0.247806 -0.239095 -11.7634 -13.0409 0.014201
-0.95 0.34926 0.350652 -0.367079 -0.369845 -12.0858 -13.1059 0.0177238
-0.94 0.34498 0.346297 -0.489407 -0.501147 -12.3739 -13.1513 0.0212097
-0.93 0.339463 0.340628 -0.614437 -0.63281 -12.6256 -13.1781 0.0246454
-0.92 0.332684 0.333641 -0.741791 -0.764649 -12.8386 -13.1868 0.0280178
-0.91 0.324621 0.325335 -0.871072 -0.896484 -13.0107 -13.1771 0.0313138
-0.9 0.315257 0.315711 -1.00186 -1.02813 -13.1401 -13.1487 0.0345201
-0.89 0.30458 0.304773 -1.13373 -1.15939 -13.2248 -13.1003 0.0376237
-0.88 0.292581 0.292526 -1.2662 -1.29006 -13.263 -13.0306 0.0406112
-0.87 0.279256 0.278975 -1.39883 -1.41993 -13.2533 -12.9377 0.0434698
-0.86 0.264606 0.264131 -1.5311 -1.54873 -13.1942 -12.8193 0.0461864
-0.85 0.248636 0.248005 -1.66254 -1.67622 -13.0844 -12.673 0.0487482
-0.84 0.231359 0.230612 -1.79262 -1.80209 -12.9229 -12.4958 0.0511423
-0.83 0.21279 0.211969 -1.92082 -1.92602 -12.7088 -12.2851 0.0533562
-0.82 0.192951 0.192099 -2.04662 -2.04767 -12.4415 -12.0376 0.0553776
-0.81 0.171868 0.171025 -2.16947 -2.16665 -12.1206 -11.7506 0.0571942
-0.8 0.149573 0.148776 -2.28885 -2.28254 -11.7457 -11.4211 0.0587942
-0.79 0.126104 0.125386 -2.40421 -2.39492 -11.3169 -11.0464 0.0601659
-0.78 0.101504 0.100891 -2.51501 -2.50331 -10.8345 -10.6241 0.0612982
-0.77 0.0758208 0.0753343 -2.62072 -2.60723 -10.2988 -10.152 0.0621802
-0.76 0.0491083 0.0487629 -2.72081 -2.70618 -9.71065 -9.62826 0.0628015
-0.75 0.0214251 0.0212291 -2.81476 -2.79962 -9.07097 -9.05164 0.0631522
-0.74 -0.00716481 -0.00720943 -2.90206 -2.88703 -8.38096 -8.42125 0.0632231
-0.73 -0.0365924 -0.0364896 -2.98222 -2.96787 -7.64208 -7.73676 0.0630052
-0.72 -0.0667838 -0.0665431 -3.05475 -3.04159 -6.85603 -6.99839 0.0624907
-0.71 -0.0976604 -0.0972959 -3.11919 -3.10766 -6.02474 -6.20691 0.0616721
-0.7 -0.129139 -0.128669 -3.1751 -3.16555 -5.15041 -5.36368 0.0605427
