# z erf_integral std_erf
-3 -0.999978 -0.999978
-2.95 -0.99997 -0.99997
-2.9 -0.999959 -0.999959
-2.85 -0.999944 -0.999944
-2.8 -0.999925 -0.999925
-2.75 -0.999899 -0.999899
-2.7 -0.999866 -0.999866
-2.65 -0.999822 -0.999822
-2.6 -0.999764 -0.999764
-2.55 -0.99969 -0.999689
-2.5 -0.999594 -0.999593
-2.45 -0.999469 -0.999469
-2.4 -0.999311 -0.999311
-2.35 -0.999111 -0.999111
-2.3 -0.998857 -0.998857
-2.25 -0.998537 -0.998537
-2.2 -0.998137 -0.998137
-2.15 -0.997639 -0.997639
-2.1 -0.997021 -0.997021
-2.05 -0.996258 -0.996258
-2 -0.995322 -0.995322
-1.95 -0.994179 -0.994179
-1.9 -0.99279 -0.99279
-1.85 -0.991111 -0.991111
-1.8 -0.989091 -0.989091
-1.75 -0.986672 -0.986672
-1.7 -0.98379 -0.98379
-1.65 -0.980376 -0.980376
-1.6 -0.976348 -0.976348
-1.55 -0.971623 -0.971623
-1.5 -0.966105 -0.966105
-1.45 -0.959695 -0.959695
-1.4 -0.952285 -0.952285
-1.35 -0.943762 -0.943762
-1.3 -0.934008 -0.934008
-1.25 -0.9229 -0.9229
-1.2 -0.910314 -0.910314
-1.15 -0.896124 -0.896124
-1.1 -0.880205 -0.880205
-1.05 -0.862436 -0.862436
-1 -0.842701 -0.842701
-0.95 -0.820891 -0.820891
-0.9 -0.796908 -0.796908
-0.85 -0.770668 -0.770668
-0.8 -0.742101 -0.742101
-0.75 -0.711156 -0.711156
-0.7 -0.677801 -0.677801
-0.65 -0.642029 -0.642029
-0.6 -0.603856 -0.603856
-0.55 -0.563323 -0.563323
-0.5 -0.5205 -0.5205
-0.45 -0.475482 -0.475482
-0.4 -0.428392 -0.428392
-0.35 -0.379382 -0.379382
-0.3 -0.328627 -0.328627
-0.25 -0.276326 -0.276326
-0.2 -0.222703 -0.222703
-0.15 -0.167996 -0.167996
-0.1 -0.112463 -0.112463
-0.05 -0.056372 -0.056372
0 0 0
0.05 0.056372 0.056372
0.1 0.112463 0.112463
0.15 0.167996 0.167996
0.2 0.222703 0.222703
0.25 0.276326 0.276326
0.3 0.328627 0.328627
0.35 0.379382 0.379382
0.4 0.428392 0.428392
0.45 0.475482 0.475482
0.5 0.5205 0.5205
0.55 0.563323 0.563323
0.6 0.603856 0.603856
0.65 0.642029 0.642029
0.7 0.677801 0.677801
0.75 0.711156 0.711156
0.8 0.742101 0.742101
0.85 0.770668 0.770668
0.9 0.796908 0.796908
0.95 0.820891 0.820891
1 0.842701 0.842701
1.05 0.862436 0.862436
1.1 0.880205 0.880205
1.15 0.896124 0.896124
1.2 0.910314 0.910314
1.25 0.9229 0.9229
1.3 0.934008 0.934008
1.35 0.943762 0.943762
1.4 0.952285 0.952285
1.45 0.959695 0.959695
1.5 0.966105 0.966105
1.55 0.971623 0.971623
1.6 0.976348 0.976348
1.65 0.980376 0.980376
1.7 0.98379 0.98379
1.75 0.986672 0.986672
1.8 0.989091 0.989091
1.85 0.991111 0.991111
1.9 0.99279 0.99279
1.95 0.994179 0.994179
2 0.995322 0.995322
2.05 0.996258 0.996258
2.1 0.997021 0.997021
2.15 0.997639 0.997639
2.2 0.998137 0.998137
2.25 0.998537 0.998537
2.3 0.998857 0.998857
2.35 0.999111 0.999111
2.4 0.999311 0.999311
2.45 0.999469 0.999469
2.5 0.999594 0.999593
2.55 0.99969 0.999689
2.6 0.999764 0.999764
2.65 0.999822 0.999822
2.7 0.999866 0.999866
2.75 0.999899 0.999899
2.8 0.999925 0.999925
2.85 0.999944 0.999944
2.9 0.999959 0.999959
2.95 0.99997 0.99997
3 0.999978 0.999978
